Players,assists,goals_scored
Aaron Connolly,2,2
Aaron Cresswell,0,3
Aaron Lennon,0,0
Aaron Mooy,1,2
Aaron Ramsdale,1,0
Aaron Wan-Bissaka,2,0
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0
Abdoulaye Doucour?,3,4
Adam Idah,0,0
Adam Lallana,1,1
Adam Masina,0,1
Adam Smith,1,0
Adam Webster,1,3
Adama Traor?,7,4
Addji Keaninkin Marc-Israel Guehi,0,0
Ademola Lookman,0,0
Adrian Mariappa,0,0
Adri?n San Miguel del Castillo,0,0
Ahmed El Mohamady,1,0
Ainsley Maitland-Niles,2,0
Akin Famewo,0,0
Albian Ajeti,0,0
Alex Iwobi,0,1
Alex McCarthy,0,0
Alex Oxlade-Chamberlain,0,3
Alexander Tettey,1,1
Alexandre Nascimento Costa Silva,0,0
Alexandre Lacazette,4,7
Alexis Mac Allister,0,0
Alexis S?nchez,0,0
Alfie Whiteman,0,0
Alireza Jahanbakhsh,1,2
Alisson Ramses Becker,1,0
Allan Saint-Maximin,2,2
Andre Gray,1,2
Andre Green,0,0
Andreas Christensen,0,0
Andreas Pereira,3,1
Andrew Robertson,7,1
Andrew Surman,0,0
Andriy Yarmolenko,1,3
Andros Townsend,1,1
Andr? Filipe Tavares Gomes,0,0
Andy Carroll,3,0
Andy King,0,0
Andy Lonergan,0,0
Angel Gomes,0,0
Angelo Ogbonna,0,2
Angus Gunn,0,0
Anthony Driscoll-Glennon,0,0
Anthony Gordon,0,0
Anthony Knockaert,0,0
Anthony Martial,3,11
Antonio R?diger,0,2
Anwar El Ghazi,5,4
Archie Mair,0,0
Armando Broja,0,0
Arnaut Danjuma Groeneveld,1,0
Arthur Masuaku,1,0
Artur Boruc,0,0
Ashley Barnes,0,6
Ashley Westwood,6,2
Ashley Young,0,0
Asmir Begovic,0,0
Axel Tuanzebe,0,0
Aymeric Laporte,0,0
Ayotomiwa Dele-Bashiru,0,0
Ayoze P?rez,5,7
Bailey Peacock-Farrell,0,0
Bamidele Alli,6,8
Ben Davies,0,0
Ben Foster,0,0
Ben Gibson,0,0
Ben Godfrey,0,0
Ben Johnson,0,0
Ben Mee,2,0
Ben Osborn,0,0
Beni Baningime,0,0
Benjamin Chilwell,3,2
Benjamin Mendy,2,0
Beram Kayal,0,0
Bernard An?cio Caldeira Duarte,2,3
Bernard Ashley-Seal,0,0
Bernardo Mota Veiga de Carvalho e Silva,5,5
Bernardo Costa Da Rosa,0,0
Bernardo Fernandes da Silva Junior,0,0
Bernd Leno,0,0
Billy Gilmour,0,0
Billy Sharp,0,3
Birkir Bjarnason,0,0
Bjorn Engels,0,1
Borja Gonz?lez Tom?s,0,0
Brandon Austin,0,0
Brandon Pierrick,0,0
Brandon Williams,1,1
Bruno Andr? Cavaco Jordao,0,0
Bruno Miguel Borges Fernandes,3,2
Bukayo Saka,4,0
Callum Hudson-Odoi,4,1
Callum Robinson,2,1
Callum Slattery,0,0
Callum Wilson,3,8
Calum Chambers,1,1
Caoimhin Kelleher,0,0
Carl Jenkinson,0,0
Carlos S?nchez,0,0
Cenk Tosun,0,2
Charlie Austin,0,0
Charlie Daniels,0,0
Charlie Taylor,0,0
Che Adams,3,0
Cheikhou Kouyat?,2,1
Chris Basham,0,0
Chris Mepham,0,1
Chris Smalling,0,0
Chris Wood,1,11
Christian Atsu,3,0
Christian Benteke,1,1
Christian Eriksen,2,2
Christian Fuchs,0,0
Christian Kabasele,1,0
Christian Pulisic,3,5
Christian Saydee,0,0
Christoph Zimmermann,1,0
Ciaran Clark,0,2
Claudio Bravo,0,0
Connor Wickham,1,1
Conor Coady,0,0
Conor Hourihane,2,3
Craig Cathcart,0,0
Craig Dawson,0,0
Curtis Jones,0,0
C?dric Soares,1,0
C?sar Azpilicueta,3,2
Dale Stephens,1,0
Dan Burn,0,0
Dan Gosling,1,2
Daniel Amartey,0,0
Daniel Castelo Podence,0,0
Daniel Ceballos Fern?ndez,2,0
Daniel Drinkwater,0,0
Daniel James,6,3
Daniel N'Lundulu,0,0
Danilo Luiz da Silva,0,0
Danny Ings,1,15
Danny Rose,0,0
Danny Ward,0,0
Danny Welbeck,0,0
Darren Randolph,0,0
Daryl Janmaat,1,0
David Brooks,0,0
David Button,0,0
David Luiz Moreira Marinho,1,2
David Martin,0,0
David McGoldrick,2,0
David Silva,9,3
David de Gea,0,0
Davide Zappacosta,0,0
Davinson S?nchez,1,0
Davy Pr?pper,2,1
DeAndre Yedlin,0,1
Dean Henderson,1,0
Declan Rice,2,0
Dejan Lovren,1,0
Demarai Gray,2,1
Dennis Praet,3,1
Dennis Srbeny,0,1
Diego Rico,3,0
Dimitri Foulquier,0,0
Diogo Jota,3,6
Divock Origi,3,3
Djibril Sidib?,4,0
Domingos Quina,0,0
Dominic Calvert-Lewin,1,13
Dominic Solanke,2,0
Douglas Luiz Soares de Paulo,2,3
Dwight Gayle,1,0
Dwight McNeil,6,2
Ederson Santana de Moraes,0,0
Edward Nketiah,0,1
Eldin Jakupovic,0,0
Emerson Palmieri dos Santos,0,0
Emil Krafth,0,0
Emile Smith Rowe,0,0
Emiliano Buend?a,7,0
Emiliano Mart?nez,0,0
Enda Stevens,2,2
Eric Bailly,0,0
Eric Dier,2,0
Eric Garcia,0,0
Erik Lamela,4,2
Erik Pieters,3,0
Ethan Ampadu,0,0
Etienne Capoue,3,0
Ezequiel Schelotto,0,0
Ezri Konsa Ngoyo,2,0
Fabian Delph,0,0
Fabian Sch?r,1,2
Fabio Henrique Tavares,1,1
Fabi?n Balbuena,0,1
Faustino Anjorin,0,0
Federico Fern?ndez,2,2
Felipe Anderson Pereira Gomes,4,1
Fernando Luiz Rosa,0,0
Fikayo Tomori,0,1
Filip Benkovic,0,0
Florian Lejeune,0,2
Florin Andone,0,1
Francisco Femen?a Far,0,0
Fraser Forster,0,0
Frederick Woodman,0,0
Frederico Rodrigues de Paula Santos,0,0
Fr?d?ric Guilbert,2,0
Gabriel Fernando de Jesus,5,10
Gabriel Teodoro Martinelli Silva,1,3
Gary Cahill,1,0
Gavin Kilkenny,0,0
Ga?tan Bong,0,0
Gedson Carvalho Fernandes,0,0
George Baldock,4,2
Georges-K?vin Nkoudou,0,0
Georginio Wijnaldum,0,3
Gerard Deulofeu,5,4
Giovani Lo Celso,0,0
Giovanni McGregor,0,0
Glenn Murray,0,1
Gon?alo Bento Soares Cardoso,0,0
Grady Diangana,0,0
Granit Xhaka,1,0
Grant Hanley,0,0
Gylfi Sigurdsson,3,1
Hamza Choudhury,1,1
Harry Kane,2,11
Harry Lewis,0,0
Harry Maguire,0,1
Harry Wilson,1,7
Harry Winks,0,0
Harvey Barnes,8,6
Harvey Elliott,0,0
Henri Lansbury,0,0
Henrikh Mkhitaryan,0,0
Heung-Min Son,9,9
Heurelho da Silva Gomes,0,0
Hugo Lloris,0,0
H?ctor Beller?n,0,1
H?lder Costa,0,0
Ibrahim Amadou,0,0
Idrissa Gueye,0,0
Ignacio Pussetto,0,0
Ilkay G?ndogan,1,2
Indiana Vassilev,0,0
Isaac Hayden,3,1
Isaac Success Ajayi,0,0
Isma?la Sarr,4,5
Issa Diop,0,3
Ivan Cavaleiro,0,0
Jack Colback,0,0
Jack Cork,0,0
Jack Grealish,7,7
Jack O'Connell,1,0
Jack Robinson,0,0
Jack Rodwell,0,0
Jack Simpson,0,0
Jack Stacey,2,0
Jack Stephens,3,1
Jack Wilshere,0,0
Jacob Murphy,0,0
Jairo Riedewald,0,0
Jake Eastwood,0,0
Jamaal Lascelles,0,1
Jamal Lewis,0,1
James Chester,0,0
James Daly,0,0
James Garner,0,0
James Justin,1,0
James Maddison,5,6
James McArthur,4,0
James McCarthy,0,0
James Milner,2,2
James Tarkowski,2,1
James Tomkins,1,1
James Ward-Prowse,4,4
Jamie Vardy,6,19
Jan Bednarek,0,1
Jan Vertonghen,1,1
Jannik Vestergaard,0,1
Japhet Tanganga,0,0
Jarrod Bowen,0,1
Javier Hern?ndez Balc?zar,0,1
Javier Manquillo,1,0
Jay Rodriguez,1,5
Jean-Philippe Gbamin,0,0
Jed Steer,0,0
Jeff Hendrick,2,2
Jefferson Lerma,2,1
Jeffrey Schlupp,1,2
Jeremy Ngakia,0,0
Jesse Lingard,0,0
Jes?s Vallejo L?zaro,0,0
Jetro Willems,2,2
Joe Hart,0,0
Joel Matip,0,1
Joel Ward,1,0
Joelinton C?ssio Apolin?rio de Lira,2,1
Johann Berg Gudmundsson,0,1
John Egan,1,0
John Fleck,2,5
John Lundstram,4,4
John McGinn,2,3
John Ruddy,0,0
John Stones,0,0
Jonas L?ssl,0,0
Jonathan Castro Otto,2,1
Jonathan Kodjia,0,0
Jonjo Shelvey,0,5
Jonny Evans,2,1
Jordan Ayew,2,8
Jordan Henderson,5,3
Jordan Pickford,0,0
Jordon Ibe,0,0
Jorge Luiz Frello Filho,3,4
Jose Luis Mato Sanmart?n,0,0
Joseph Anang,0,0
Joseph Gomez,0,0
Joseph Willock,0,0
Josh Brownhill,0,0
Joshua King,3,4
Josip Drmic,0,1
Jos? Diogo Dalot Teixeira,0,0
Jos? Heriberto Izquierdo Mena,0,0
Jos? Ignacio Peleteiro Romallo,1,0
Jos? ?ngel Esmor?s Tasende,1,0
Jos? Holebas,0,0
Jos? Reina,0,0
Jo?o Filipe Iria Santos Moutinho,7,1
Jo?o Manuel Neves Virg?nia,0,0
Jo?o Pedro Cavaco Cancelo,0,0
Jo?o Pedro Junqueira de Jesus,0,0
Juan Foyth,0,0
Juan Mata,2,0
Junior Stanislas,0,0
J?rgen Locadia,0,0
Karl Darlow,0,0
Kasper Schmeichel,0,0
Kayne Ramsay,0,0
Keinan Davis,1,0
Kelechi Iheanacho,4,3
Kelland Watts,0,0
Ken Sema,0,0
Kenny McLean,1,1
Kepa Arrizabalaga,0,0
Kevin Danso,1,0
Kevin De Bruyne,18,8
Kevin Long,0,0
Ki-Jana Hoever,0,0
Kieran Tierney,0,0
Kieran Trippier,0,0
Kieron Freeman,0,0
Konstantinos Mavropanos,0,0
Kortney Hause,0,0
Kurt Zouma,0,0
Kyle Walker-Peters,0,0
Kyle Walker,2,1
Laurent Koscielny,0,0
Leander Dendoncker,0,2
Leandro Trossard,5,3
Lee Grant,0,0
Leighton Baines,1,0
Leon Balogun,0,0
Leon Clarke,0,0
Leroy San?,0,0
Lewis Cook,1,0
Lewis Dunk,3,2
Lewis Gibson,0,0
Liam Gibson,0,0
Lloyd Kelly,0,0
Lovre Kalinic,0,0
Lucas Digne,5,0
Lucas Rodrigues Moura da Silva,3,4
Lucas Torreira,1,1
Luka Milivojevic,1,2
Lukas Rupp,0,0
Lukasz Fabianski,0,0
Luke Amos,0,0
Luke Cundle,0,0
Luke Dreher,0,0
Luke Freeman,0,0
Luke Shaw,0,0
Lys Mousset,4,5
Maarten Stekelenburg,0,0
Mace Goodridge,0,0
Mahmoud Ahmed Ibrahim Hassan,2,3
Mamadou Sakho,0,0
Manuel Lanzini,3,0
Marc Albrighton,3,0
Marc Navarro,0,0
Marco Stiepermann,0,0
Marcos Alonso,3,4
Marcos Rojo,0,0
Marcus Rashford,5,14
Mario Lemina,0,0
Mario Vrancic,0,1
Mark Duffy,0,0
Mark Noble,2,4
Mark Travers,0,0
Marko Arnautovic,0,0
Martin Dubravka,0,0
Martin Kelly,1,0
Mart?n Montoya,1,0
Marvelous Nakamba,0,0
Mason Greenwood,0,5
Mason Holgate,4,0
Mason Mount,5,6
Matej Vydra,1,2
Mateo Kovacic,3,1
Mathew Ryan,0,0
Matt Doherty,5,4
Matt Ritchie,0,0
Matt Targett,3,1
Matteo Darmian,0,0
Matteo Guendouzi,2,0
Matthew Clarke,0,0
Matthew Longstaff,0,2
Matthew Lowton,1,0
Matty James,0,0
Max Kilman,0,0
Max Meyer,0,0
Maximillian Aarons,2,0
Maya Yoshida,0,0
Mbwana Samatta,0,1
Mesut ?zil,3,1
Michael Keane,0,1
Michael McGovern,0,0
Michael Obafemi,0,2
Michael Verrips,0,0
Michail Antonio,3,2
Michel Vorm,0,0
Michy Batshuayi,2,1
Miguel Almir?n,1,2
Mihai-Alexandru Dobre,0,0
Mohamed Elneny,0,0
Mohamed Elyounoussi,0,0
Mohamed Salah,6,16
Moise Kean,2,1
Morgan Gibbs-White,1,0
Morgan Schneiderlin,0,0
Moritz Leitner,0,0
Moussa Djenepo,2,2
Moussa Sissoko,1,2
Muhamed Be?i?,0,0
N'Golo Kant?,0,3
Nabil Bentaleb,0,0
Naby Keita,1,1
Nacho Monreal,0,0
Nampalys Mendy,0,0
Nathan Ak?,1,2
Nathan Holland,0,0
Nathan Redmond,1,3
Nathaniel Chalobah,1,0
Nathaniel Phillips,0,0
Neal Maupay,2,8
Neco Williams,0,0
Neil Taylor,0,0
Nemanja Matic,1,0
Nick Pope,0,0
Nicolas P?p?,6,4
Nicol?s Otamendi,1,2
Nya Kirby,0,0
Odion Ighalo,0,0
Oleksandr Zinchenko,0,0
Oliver McBurnie,0,4
Oliver Norwood,2,1
Oliver Skipp,0,0
Olivier Giroud,1,2
Ondrej Duda,1,0
Onel Hern?ndez,1,1
Oriol Romeu Vidal,0,0
Oskar Buur,0,0
Oumar Niasse,0,0
Owen Otasowie,0,0
Pablo Fornals,5,2
Pablo Mar?,0,0
Pablo Zabaleta,0,0
Panagiotis Retsos,0,0
Pascal Gro?,5,2
Patrick Cutrone,0,2
Patrick Roberts,0,0
Patrick van Aanholt,0,3
Paul Dummett,0,0
Paul Pogba,2,0
Paulo Gazzaniga,0,0
Pedro Lomba Neto,2,2
Pedro Obiang,0,0
Pedro Rodr?guez Ledesma,2,1
Phil Bardsley,1,0
Phil Foden,1,0
Phil Jagielka,0,0
Phil Jones,0,0
Philip Billing,1,1
Philip Heise,0,0
Pierre-Emerick Aubameyang,3,17
Pierre-Emile H?jbjerg,3,0
Pontus Dahlberg,0,0
Rachid Ghezzal,0,0
Rafael Camacho,0,0
Raheem Sterling,2,11
Ralf Fahrmann,0,0
Ravel Morrison,0,0
Ra?l Jim?nez,6,13
Reece James,2,0
Reiss Nelson,1,0
Rhian Brewster,0,0
Rhu-endly Martina,0,0
Ricardo Domingos Barbosa Pereira,2,3
Richairo Zivkovic,0,0
Richard Stearman,0,0
Richarlison de Andrade,5,10
Riyad Mahrez,10,7
Rob Holding,0,0
Robbie Brady,2,1
Robert Kenedy Nunes do Nascimento,0,0
Robert Elliot,0,0
Robert Snodgrass,5,5
Roberto Firmino,8,8
Roberto Jimenez Gago,0,0
Roberto Pereyra,0,3
Rodrigo Hernandez,1,3
Rolando Aarons,0,0
Romain Sa?ss,2,2
Romelu Lukaku,0,0
Ross Barkley,4,0
Ruben Loftus-Cheek,0,0
Rui Pedro dos Santos Patr?cio,0,0
Ryan Bennett,0,0
Ryan Bertrand,1,1
Ryan Fraser,5,1
Ryan Fredericks,2,0
Ryan Giles,0,0
Ryan Sessegnon,0,0
R?ben Diogo da Silva Neves,1,2
R?ben Gon?alo Silva Nascimento Vinagre,0,0
Sadio Man?,9,14
Sam Byram,0,0
Sam Gallagher,0,0
Sam Surridge,0,0
Sam Woods,0,0
Sander Berge,0,0
Scott Carson,0,0
Scott Dann,1,0
Scott McTominay,2,3
Sead Kolasinac,2,0
Seamus Coleman,1,0
Sean Longstaff,2,0
Sebastian Pr?dl,0,0
Serge Aurier,6,1
Sergio Ag?ero,4,16
Sergio Romero,0,0
Shane Duffy,0,1
Shane Long,3,2
Shkodran Mustafi,2,0
Simon Francis,0,0
Simon Mignolet,0,0
Simon Moore,0,0
Sofiane Boufal,3,0
Sokratis Papastathopoulos,0,2
Solomon March,1,0
Stephen Henderson,0,0
Steve Cook,0,1
Steven Alzate,0,0
Steven Bergwijn,0,2
Steven Defour,0,0
Stuart Armstrong,1,3
Sung-yueng Ki,0,0
S?bastien Haller,3,7
Tahith Chong,0,0
Takumi Minamino,0,0
Tammy Abraham,5,13
Tanguy Ndombele,2,2
Tariq Lamptey,0,0
Taylor Perry,0,0
Teemu Pukki,3,11
Theo Walcott,3,1
Thomas Allan,0,0
Tim Krul,0,0
Timm Klose,0,0
Toby Alderweireld,2,1
Todd Cantwell,2,6
Tom Cleverley,0,1
Tom Davies,1,1
Tom Heaton,0,0
Tom Trybull,0,0
Tomas Soucek,0,0
Trent Alexander-Arnold,14,2
Troy Deeney,2,6
Troy Parrott,0,0
Tudor Baluta,0,0
Tyreece John-Jules,0,0
Tyreke Johnson,0,0
Tyrick Mitchell,0,0
Tyrone Mings,1,2
Valentino Lazaro,0,0
Vicente Guaita,0,0
Victor Lindel?f,0,1
Victor Wanyama,0,0
Vincent Janssen,0,0
Virgil van Dijk,1,4
V?ctor Camarasa,0,0
Wayne Hennessey,0,0
Wes Morgan,0,0
Wesley Hoedt,0,0
Wesley Moraes,1,5
Wilfred Ndidi,1,2
Wilfried Zaha,5,3
Will Hughes,1,1
Will Norris,0,0
William Smallbone,0,0
Willian Borges Da Silva,6,5
Willy Boly,1,0
Willy Caballero,0,0
Winston Reid,0,0
Xherdan Shaqiri,0,1
Yan Valery,1,0
Yerry Mina,1,2
Yoshinori Muto,0,0
Youri Tielemans,5,3
Yves Bissouma,0,0
?aglar S?y?nc?,1,1
?rjan Nyland,0,0
